block,concatenate,input_mode,relu,dataset,batch_size,dropout,epoch,train_datas,test_datas,accuacy,time,final_acc
none,basic_block,Single,False,cifer10,32,0,10,50000,10000,0.7572,572,0.83322
none,basic_block,Single,False,cifer10,32,0,10,50000,10000,0.7275,318,0.8362
none,basic_block,Double,False,cifer10,32,0,10,50000,10000,0.7459,1045,0.81778
none,basic_block,Double,False,cifer10,32,0,10,50000,10000,0.7101,562,0.83148
full_concanate,double_basic,Single,False,cifer10,32,0,10,50000,10000,0.6858,1667,0.7568
full_concanate,double_basic,Single,False,cifer10,32,0,10,50000,10000,0.744,824,0.83856
full_concanate,double_basic,Double,False,cifer10,32,0,10,50000,10000,0.6854,3233,0.80282
full_concanate,double_basic,Double,False,cifer10,32,0,10,50000,10000,0.7342,1556,0.8137
full_concanate,double_basic,Single,False,cifer10,32,0.2,10,50000,10000,0.734,1719,0.7896
full_concanate,double_basic,Single,False,cifer10,32,0.2,10,50000,10000,0.6995,869,0.76078
full_concanate,double_basic,Double,False,cifer10,32,0.2,10,50000,10000,0.729,3318,0.7478
full_concanate,double_basic,Double,False,cifer10,32,0.2,10,50000,10000,0.704,1616,0.79012
none,bottleneck,Single,False,cifer10,32,0,10,50000,10000,0.6356,1246,0.67242
none,bottleneck,Single,False,cifer10,32,0,10,50000,10000,0.6423,675,0.71178
none,bottleneck,Double,False,cifer10,32,0,10,50000,10000,0.681,2398,0.72384
none,bottleneck,Double,False,cifer10,32,0,10,50000,10000,0.6238,1258,0.71972
full_concanate,double_bottleneck,Single,False,cifer10,32,0,10,50000,10000,0.5664,6599,0.58792
full_concanate,double_bottleneck,Single,False,cifer10,32,0,10,50000,10000,0.6096,3464,0.6638
full_concanate,double_bottleneck,Double,False,cifer10,32,0,10,50000,10000,0.568,7277,0.60808
full_concanate,double_bottleneck,Double,False,cifer10,32,0,10,50000,10000,0.6446,4954,0.69716
full_concanate,double_bottleneck,Single,False,cifer10,32,0.2,10,50000,10000,0.5988,3305,0.58496
full_concanate,double_bottleneck,Single,False,cifer10,32,0.2,10,50000,10000,0.6231,1664,0.61398
full_concanate,double_bottleneck,Double,False,cifer10,32,0.2,10,50000,10000,0.6017,6354,0.57524
full_concanate,double_bottleneck,Double,False,cifer10,32,0.2,10,50000,10000,0.6009,3251,0.63796
